home,busca,logado,comprou
0,ruby,1,1
1,algoritmos,0,0
0,algoritmos,0,1
1,java,1,1
1,algoritmos,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
0,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
0,ruby,1,1
0,java,0,1
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
1,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
1,ruby,1,1
0,java,0,1
0,ruby,1,1
1,algoritmos,0,0
0,algoritmos,0,1
1,java,1,1
1,algoritmos,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
0,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
0,ruby,1,1
0,java,0,1
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
1,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
1,ruby,1,1
0,java,0,1
0,ruby,1,1
1,algoritmos,0,0
0,algoritmos,0,1
1,java,1,1
1,algoritmos,0,0
0,ruby,0,1
0,java,0,0
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
0,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
0,ruby,1,1
0,java,0,1
0,ruby,1,1
1,ruby,0,0
1,algoritmos,0,0
1,algoritmos,0,1
1,algoritmos,1,0
1,ruby,0,1
0,ruby,0,1
1,ruby,1,1
0,java,0,1
